store_id,sku,sale_date,units_sold,unit_price,revenue,promo_flag
L100,SKU10000,2026-05-28,3,9.23,27.69,0
L100,SKU10001,2026-05-28,2,30.89,61.78,0
L100,SKU10002,2026-05-28,6,29.27,175.62,0
L100,SKU10003,2026-05-28,6,16.9,101.4,0
L100,SKU10004,2026-05-28,2,27.49,54.98,0
L100,SKU10005,2026-05-28,12,5.77,69.24,0
L100,SKU10006,2026-05-28,9,24.37,219.33,0
L100,SKU10007,2026-05-28,8,30.16,241.28,0
L100,SKU10008,2026-05-28,28,7.32,204.96,0
L100,SKU10009,2026-05-28,3,20.09,60.27,0
L100,SKU10010,2026-05-28,8,6.37,50.96,0
L100,SKU10011,2026-05-28,0,13.79,0.0,0
L100,SKU10012,2026-05-28,5,23.02,115.1,0
L100,SKU10013,2026-05-28,6,35.91,215.46,0
L100,SKU10014,2026-05-28,17,23.18,394.06,0
L100,SKU10015,2026-05-28,4,8.3,33.2,0
L100,SKU10016,2026-05-28,4,19.65,78.6,0
L100,SKU10017,2026-05-28,4,28.6,114.4,0
L100,SKU10018,2026-05-28,2,15.32,30.64,0
L100,SKU10019,2026-05-28,0,42.84,0.0,0
L100,SKU10020,2026-05-28,7,10.16,71.12,0
L100,SKU10021,2026-05-28,2,8.17,16.34,0
L100,SKU10022,2026-05-28,13,3.66,47.58,0
L100,SKU10023,2026-05-28,2,15.55,31.1,0
L100,SKU10024,2026-05-28,2,3.28,6.56,0
L100,SKU10025,2026-05-28,27,5.29,142.83,0
L100,SKU10026,2026-05-28,4,12.35,49.4,0
L100,SKU10027,2026-05-28,0,10.27,0.0,0
L100,SKU10028,2026-05-28,8,16.18,129.44,0
L100,SKU10029,2026-05-28,37,14.01,518.37,0
